product_id,product_name,brand,category,sub_category,supplier_id,cost_price,selling_price,gst_percent,shelf_life_days,reorder_level,reorder_quantity,weight,unit,launch_date,status
1,HUL Paneer,HUL,Dairy,Paneer,170,1591.86,2236.94,12,90,47,435,6.22,ml,2022-12-23 00:00:00,Discontinued
2,Tata Atta,Tata,Grocery,Atta,315,810.52,1223.02,5,30,107,214,3.88,kg,2021-03-22 00:00:00,Active
3,Amul Bottle,Amul,Kitchen,Bottle,192,1641.73,2419.1,18,180,25,201,8.99,g,2021-07-08 00:00:00,Active
4,Dabur Milk,Dabur,Dairy,Milk,274,1749.36,2540.99,0,30,46,393,6.33,g,2023-10-28 00:00:00,Active
5,Patanjali Baby Lotion,Patanjali,Baby Care,Baby Lotion,500,974.89,1386.47,18,30,115,401,1.62,ml,2026-06-20 00:00:00,Active
6,ITC Atta,ITC,Grocery,Atta,286,111.87,163.5,0,365,49,182,4.14,ml,2023-01-04 00:00:00,Active
7,Amul Baby Soap,Amul,Baby Care,Baby Soap,4,710.26,831.62,0,365,25,408,8.5,L,2021-01-17 00:00:00,Active
8,Fortune Paneer,Fortune,Dairy,Paneer,475,1097.72,1362.33,18,180,70,470,6.64,ml,2023-10-07 00:00:00,Active
9,Sunfeast Soft Drink,Sunfeast,Beverages,Soft Drink,152,1437.24,2134.69,5,90,106,457,8.68,L,2023-03-07 00:00:00,Active
10,Nivea Tea,Nivea,Grocery,Tea,294,267.35,304.23,18,365,90,93,3.12,L,2026-01-17 00:00:00,Active
11,Dabur Knife,Dabur,Kitchen,Knife,130,343.43,475.74,5,30,43,393,8.02,kg,2024-01-22 00:00:00,Active
12,Nivea Lunch Box,Nivea,Kitchen,Lunch Box,129,145.56,205.07,0,60,112,347,4.92,L,2025-01-21 00:00:00,Active
13,Fortune Juice,Fortune,Beverages,Juice,163,1120.84,1689.16,18,180,62,365,6.63,pcs,2024-12-04 00:00:00,Active
14,Colgate Dishwash Liquid,Colgate,Household,Dishwash Liquid,403,316.02,396.5,5,180,55,480,3.66,L,2024-01-13 00:00:00,Active
15,Tata Cat Food,Tata,Pet Care,Cat Food,56,1397.96,1858.44,5,365,30,480,2.88,g,2025-05-21 00:00:00,Active
16,ITC Mineral Water,ITC,Beverages,Mineral Water,435,1313.45,1974.91,0,365,94,257,7.72,g,2025-09-11 00:00:00,Active
17,Nivea Bottle,Nivea,Kitchen,Bottle,335,1610.76,2177.85,5,90,70,164,8.93,pcs,2023-12-01 00:00:00,Active
18,Dettol Shampoo,Dettol,Personal Care,Shampoo,187,909.5,1054.05,0,60,98,400,1.74,pcs,2024-05-25 00:00:00,Active
19,Mamaearth Biscuits,Mamaearth,Snacks,Biscuits,496,1708.45,2397.89,5,180,65,70,2.27,ml,2025-09-16 00:00:00,Active
20,HUL Toothpaste,HUL,Personal Care,Toothpaste,465,91.41,110.51,12,180,80,282,8.83,kg,2025-05-05 00:00:00,Discontinued
21,Surf Excel Detergent,Surf Excel,Household,Detergent,380,1145.92,1418.19,12,365,89,341,1.82,ml,2021-04-15 00:00:00,Active
22,Godrej Cheese,Godrej,Dairy,Cheese,265,686.75,1037.07,18,90,64,299,7.95,pcs,2024-06-17 00:00:00,Active
